# ---------------------------------------------------
# Last Update: modified by Valminder Feb 28, 2006.
# ---------------------------------------------------
#
# Magical Items
#
# Various tables intended for use by other tables
#
# Created by Valminder, May 2002.
# Modified by Valminder, Oct 2003.
#    -Added %Cost% of items.
#    -Added a "Book Selection". If you have the book, change the "0"
#     to "1" for the book.
# Modified by Valminder, Feb 2006.
#    I added "VehicleSpace" subtables for Spelljammer.
#
#     BoEM1 : Book of Eldritch Might 1
#     BoEM2 : Book of Eldritch Might 2
#     BoEM3 : Book of Eldritch Might 3
#     MoF   : Magic of Faerun.
#

%Book%,1
%Cost%,0
%EQTable%,0
%Item%,0
%Meaning%,0
%Temp%,0

%BoEM1%,1
%BoEM2%,1
%BoEM3%,1
%MoF%,1

:Start
0,[Potions]
0,[VehicleFlying]
0,[VehicleLand]
0,[VehicleWater]

# ---------------------------------------------------------------------------
# When calling "Magical Items.tab" from another table, use this subtable
# instead.
# For example, if you need a weapon in "Table A", use this info to generate a
# flying vehicle with its cost written in parenthesis.
#
# 1,|EQTable=VehicleFlying|[EQCall]%Item% (%Cost% gp)
#
# This will go to the [EQCall] subtable (found in the table needing an
# equipment). EQCall goes into "Magical Items.tab" to find an item and it 
# will check if you own the appropriate book. If you do, it will show the
# result, if not it will generate a new item.
 
:EQCall
1,|Item=ERROR||Cost=0||Book=1||Temp=[Magical Items.%EQTable%Checker]|
_{Split~Temp,",",Item,Cost,Book}{If~%Book%=0 ? [EQCall]}

# -------------------------------------------------------------------

;Alignment
1,Chaos
1,Evil
1,Good
1,Law

;Energy
2,Acid
2,Cold
2,Electricity
2,Fire
1,Sonic

;Mark_Element
1,Air
1,Earth
1,Fire
1,Frost
1,Water

# -------------------------------------------------------------------

;PotionsChecker
1,[Potions],%Cost%,%Book%

;Potions
6,[Potions Common]
3,[Potions Uncommon]
1,[Potions Rare]

# Potions maximum 100 gp
;!Potions Common
1,{Unlock~Potions Common,1-11}[Potions Common]
10,Cure Light Wounds|Cost=50||Book=1|
1,Arrow Deflection (BoEM3)|Cost=50||Book=%BoEM3%|
1,Betray the Years (Oil)(BoEM3)|Cost=60||Book=%BoEM3%|
1,Bless Weapon (Oil)|Cost=100||Book=1|
1,Blissful Sleep|Cost=50||Book=%BoEM3%|
1,Camouflage (MoF)|Cost=50||Book=%MoF%|
1,Chill Touch|Cost=50||Book=1|
1,Change Weapon (Oil)(BoEM3)|Cost=50||Book=%BoEM3%|
1,Comprehend Languages|Cost=50||Book=1|
1,Corrosive Grasp (MoF)|Cost=50||Book=%MoF%|
1,Creature Loresight (BoEM2)|Cost=50||Book=%BoEM2%|
1,Detect [Alignment]|Cost=50||Book=1|
1,Detect Secret Doors|Cost=50||Book=1|
1,Detect Snares and Pit|Cost=50||Book=1|
1,Detect Undead|Cost=50||Book=1|
1,Disguise Self|Cost=50||Book=1|
1,Endure Elements|Cost=50||Book=1|
1,Enlarge Person|Cost=50||Book=1|
1,Entropic Shield|Cost=50||Book=1|
1,Expeditious Retreat|Cost=50||Book=1|
1,Fey Storage (BoEM3)|Cost=50||Book=%BoEM3%|
1,Glamour (BoEM3)|Cost=50||Book=%BoEM3%|
1,Guide Craft (BoEM3)|Cost=50||Book=%BoEM3%|
1,Hide from Animals|Cost=50||Book=1|
1,Hide from Undead|Cost=50||Book=1|
1,Hold Portal (Oil)|Cost=50||Book=1|
1,Ironguts (MoF)|Cost=50||Book=%MoF%|
1,Jump|Cost=50||Book=1|
1,Laeral's Cutting Hand (MoF)|Cost=50||Book=%MoF%|
1,Longstrider|Cost=50||Book=1|
1,Low-Light Vision (MoF)|Cost=50||Book=%MoF%|
1,Mage Armor|Cost=50||Book=1|
1,Magic Aura (Oil)|Cost=50||Book=1|
1,Magic Fang|Cost=50||Book=1|
1,Magic Stone (Oil)|Cost=50||Book=1|
1,Magic Weapon (Oil)|Cost=50||Book=1|
